flop_category,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_bet_frequency,policy,mean_local_loss_bb,max_combo_loss_bb
K/Qx con,Overpair,14,126,11032.787999999997,0.3828590952380952,0.6171409107142856,X/B,0.002700948250684582,0.011649907200001053
K/Qx dis,Weak pair,42,1092,36375.42394000007,0.6900517993386244,0.3099482008597883,X,0.000811821449309426,0.1346300000000001
K/Qx dis,Air,42,5001,358854.98627999966,0.6750046775256069,0.32499531921789154,X,0.0039815563586484476,0.09715812724999981
K/Qx dis,Gutshot,35,652,33345.43754200001,0.34205401930555557,0.6579459865079366,B,0.0036011175899972963,0.10800295016000021
K/Qx dis,Top pair,42,2298,164031.8486399997,0.6762326690361087,0.3237673279017016,X,0.004930846510426272,0.055222030469999336
K/Qx dis,Third pair,42,246,13886.043703999998,0.6333709030423281,0.3666291072751323,X/B,0.005795754251512537,0.13891999999999988
K/Qx dis,OESD,17,92,3515.2005620000004,0.4044045686274509,0.595595411764706,X/B,0.0011893957392653733,0.07733518925000027
K/Qx dis,Two pair+,42,446,28029.463845999988,0.2909906496836497,0.7090093523846522,B,0.003069329538544277,0.05408685629999752
K/Qx dis,Second pair,42,558,24583.585622000028,0.5743375276455026,0.42566247380952393,X/B,0.0011770887420477244,0.08935999999999993
K/Qx dis,Underpair,42,1050,95009.87459999998,0.7962374859221467,0.20376251206065762,X,0.0016897702260068599,0.022034754450000093
K/Qx dis,Overpair,42,378,33085.124999999985,0.26185567857142855,0.7381443234126985,B,0.005857801179956029,0.03484285125000071
K/Qx con,2 overcards + BDFD,7,21,1859.6889999999999,0.9461069523809523,0.053893095238095226,X,0.0,0.0
K/Qx dis,2 overcards + BDFD,21,63,5577.293,0.9769935714285716,0.023006428571428574,X,6.3011464483325575e-06,0.00028959810000017683
[J-8]x con,Weak pair,22,444,8138.144089999997,0.9783475617424243,0.02165242613636363,X,2.2652960347151397e-06,0.001031153256000028
