flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,bdfd_rule,bdfd_boards_present,no_bdfd_boards_present,bdfd_mean_continue_frequency,no_bdfd_mean_fold_frequency,mean_local_loss_bb,max_combo_loss_bb
K/Qx,Air,56,6636,10458.13791600001,0.57441043860012,0.3019630864658179,0.12362648268255025,BDFD,True,56,56,0.7286569645738916,0.7811188571275426,0.032327384750964784,3.2713107385
K/Qx,Gutshot,49,929,758.2877320000009,0.002058855513916481,0.5663956069097034,0.43154553848090127,C/R,False,49,49,0.9998900526077096,0.002637510831836342,0.03639012501457471,0.9568898900378999
K/Qx,Top pair,56,3042,4556.687952000001,8.095262213438008e-05,0.7960151257021667,0.20390392189891302,C,False,56,56,0.9999933231186228,0.00010702929209545421,0.006391529991522845,0.678656946240001
K/Qx,OESD,31,168,64.99833000000001,2.8745967741935483e-05,0.29969729166666664,0.7002739663978492,R,False,31,31,0.9999984946236558,0.0001104516129032258,0.09594426169568751,1.4212511362118
K/Qx,Third pair,56,339,346.2206269999998,0.0010623408730158733,0.498079475,0.5008582053571428,R/C,False,56,56,0.9997266044642859,0.002640185714285714,0.04908932705507959,0.6202176025506
K/Qx,Two pair+,56,616,535.5201920000002,1.858807858807859e-06,0.12065745694844372,0.8793406787547422,R,False,37,56,0.9999963603603604,1.7449134199134199e-06,0.11798679094476636,1.4344546874999993
K/Qx,Second pair,56,672,467.9063599999999,0.00011752926587301588,0.5430545080357143,0.4568279540674603,C/R,False,56,56,0.9999398351190476,0.000232264880952381,0.03482137781200342,0.3927712839199998
K/Qx,Underpair,55,1500,3832.689123999994,0.0003710620202020202,0.8897972336291486,0.10983168653318903,C,False,0,0,,,0.001846688085558042,0.5315350374299996
K/Qx,Overpair,56,504,851.848882,4.639880952380953e-06,0.5687091741071428,0.4312861845238095,C/R,False,0,0,,,0.06357253653183634,0.3283051135000008
K/Qx,Weak pair,42,672,115.20448499999995,0.06143070218253969,0.6848713558201059,0.2536979673280423,C,False,0,0,,,0.03429755937343245,1.7832114776610002
K/Qx,2 overcards + BDFD,28,84,130.731898,0.05334598809523811,0.746799964285714,0.19985401190476196,C,False,0,0,,,0.0002599195826092388,0.1293371104600002
[J-8]x con,Low pocket pair,22,372,661.4917470000003,0.37302283674242426,0.6130058478535353,0.013971284469696971,C/F,False,0,0,,,0.16864344946594173,0.56496865208
