flop_class,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
K/Qx dis,Underpair,42,924,76094.55199999997,0.0022534315381708236,0.9899783847505672,0.007768180867346938,C,0.014737816017316037,6.178989464655096e-05,0.012094223850000002
K/Qx con,A-high + draw,7,80,5072.347200000001,0.0648504419642857,0.3567860133928571,0.5783635491071429,C/R,0.32282281875,0.00854816758104673,0.058736798193499994
K/Qx dis,A-high + draw,6,48,2559.9776999999995,0.0,0.28752018749999997,0.7124798124999999,R,0.28752018749999997,0.0016135360260747765,0.007570540390000069
BBx,2 overcards + draw,23,500,22133.522050000007,0.0,0.6645273234519103,0.33547269038208166,C,0.3674698980000001,0.001787043004299638,0.20673999999999956
K/Qx con,2 overcards,7,84,1593.3224999999995,0.10478119047619047,0.8952187976190477,0.0,C,0.10478119642857141,0.002130974249133192,0.055278953337500006
K/Qx dis,2 overcards,21,252,5535.514600000002,0.0,1.0,0.0,C,0.0,0.0,0.0
[J-8]x con,Weak pair,22,444,43434.64126,0.7301181094155843,0.2694729788419913,0.0004088969696969697,F,0.2035408873873873,0.05064105029100716,1.4287334919499999
[J-8]x con,Air,26,1556,95366.21583,0.9692522238115386,0.012811282443791368,0.017936498390313783,F,0.04245697043701797,0.0007193144424851292,0.17684764792
[J-8]x con,Air + draw,26,806,44952.76889300006,0.13681478653984905,0.21359044074883446,0.6495947663660991,C/R,0.4294766612903229,0.12766496170768013,1.5038886999999999
[J-8]x con,A-high,25,460,33652.762679,0.7282672665833334,0.139936172,0.1317965495833333,F,0.24685406739130436,0.018661389757979124,0.291113130936
[J-8]x con,Third pair,26,528,33607.148050000025,0.020697905677655684,0.8497456771164023,0.1295564138583639,C,0.1469167017045455,0.0040594703606876646,0.3693092
[J-8]x con,Second pair,26,600,38142.98855999997,0.014202956043956046,0.808864018645706,0.17693302163715913,C,0.19543971333333326,0.002264198509539816,0.2699659
[J-8]x con,Two pair+,26,527,31201.237611000022,0.0,0.29894857482383164,0.7010514296858369,R,0.33709970777988635,0.012137612610632752,0.3030799999999999
[J-8]x con,Top pair,26,1194,60506.00333999992,5.5907610907610904e-06,0.7646274883061454,0.23536691895451384,C,0.22447062897822467,0.000801552056146348,0.22463999999999978
[J-8]x con,A-high + draw,23,216,14136.94836,0.10939357717391304,0.39661039945652177,0.49399600706521735,C/R,0.31224102083333327,0.08350388671099498,1.53056775
[J-8]x con,2 overcards + draw,26,856,29150.29773799999,0.05202840884149185,0.6105429001722341,0.3374286820024547,C/R,0.3655135461448595,0.010101436754501515,0.37486664999999997
[J-8]x con,Underpair,22,444,41177.16530000003,0.001862681565656565,0.9171847716630591,0.08095254487734488,C,0.07612079504504503,7.381329918003702e-05,0.0030367994569999723
[J-8]x con,2 overcards,25,1950,105399.83753299997,0.6195805840002899,0.3691935229766283,0.0112258899073221,F/C,0.4088333951282052,0.050360355624731776,0.750905
[J-8]x dis,Weak pair,67,1602,171323.5370999998,0.5206631784411276,0.4778341799751244,0.0015026504145936983,F/C,0.3608317643570541,0.058665941889524065,1.8472112760499992
[J-8]x dis,Air,67,4380,287026.6975700008,0.972166378018084,0.010651017804765975,0.017182607520067204,F,0.03257462751141554,0.001094263457470808,0.24726310165999998
[J-8]x dis,A-high,67,1616,127823.53080499993,0.6974520504353234,0.1735841257773632,0.12896382792288558,F,0.26177807673267317,0.0243534603828963,0.446433348508
[J-8]x dis,Third pair,67,1269,81977.13431000014,6.218905472636815e-10,0.9054093124378109,0.09459068159401406,C,0.09719253270291572,0.00041512602044103594,0.021676782890000013
[J-8]x dis,Air + draw,67,2117,133448.508974,0.040697125305044,0.30331477088823505,0.6559880971158331,R,0.3825575446386401,0.02095365368539406,1.6562823999999998
[J-8]x dis,Second pair,67,1671,122677.33164000003,0.0,0.7941352225057973,0.2058647796841909,C,0.20418239676840225,0.0006193090428982364,0.03538161936000002
[J-8]x dis,Two pair+,67,905,68786.83858000001,0.0,0.21498787250458679,0.7850121171099321,R,0.21776675580110494,0.005145400299198557,0.17038330080000036
[J-8]x dis,Top pair,67,3210,174163.05658000006,0.0,0.7972741144138901,0.20272588938550087,C,0.1937789615264795,0.0003868475652583812,0.19761071185999982
[J-8]x dis,A-high + draw,22,188,11367.001900000001,0.05207025113636363,0.34070245,0.6072272784090909,C/R,0.2804591515957447,0.016413310415788425,1.05771005
[J-8]x dis,Underpair,52,726,69479.3785,1.5246634615384615e-05,0.9674043141025641,0.03258043504273504,C,0.0384578870523416,1.331708672208516e-05,0.0009450919249999856
[J-8]x dis,2 overcards + draw,67,2076,73197.18754499992,0.018454237919724423,0.5693646288815617,0.4121811306714331,C/R,0.27056381454720607,0.0041111235104788705,0.23779395
[J-8]x dis,2 overcards,67,4997,294445.71659499913,0.557551072505426,0.43246814097063824,0.009980784501895141,F/C,0.40147610356213687,0.05032824732126321,0.710135
[J-8]x con,Overpair,18,204,10696.933600000002,0.0,0.7265575262345679,0.27344246296296293,C,0.24933432598039226,0.0002344061787933682,0.007539377159999816
[J-8]x dis,Overpair,46,486,27185.199399999998,0.0,0.7240953218599032,0.2759046859903382,C,0.2487652448559671,4.136213989421262e-05,0.0015800327400000923
[7-4]x,Weak pair,16,180,7757.235071,0.16937232465277777,0.7873729114583333,0.04325475,C,0.22169780833333325,0.008787787519368536,0.17185630000000002
[7-4]x,Air + draw,19,368,9995.483900999994,0.02256373364661654,0.18744871701957097,0.789987546843211,R,0.21802871603260857,0.00228939572806186,0.6265896
[7-4]x,Third pair,20,273,8054.742045000005,0.0,0.8206240219444444,0.17937598513888892,C,0.17125094139194147,0.00018099357034297435,0.06465999999999994
[7-4]x,Air,10,144,6425.455924000001,0.9609469268560605,0.003780954450757576,0.03527210867424242,F,0.08920157638888887,0.0004661900496717573,0.0191734330648
[7-4]x,A-high,7,36,1777.6432570000002,0.631628261904762,0.16528989285714288,0.20308180952380955,F/R,0.5047292083333333,0.22896527427151153,0.66178
[7-4]x,Two pair+,20,380,9870.09046799999,0.0,0.24520301849480447,0.7547969739506017,R,0.2518717657894737,0.008947586956392146,0.15579525289999907
[7-4]x,Second pair,20,402,12697.314481999972,0.0,0.813083244398148,0.18691675490740747,C,0.18811655597014926,0.0005038755580077435,0.07611614781000035
[7-4]x,A-high + draw,15,132,4552.951426,0.03992488333333333,0.44365463888888895,0.5164204777777778,C/R,0.23906885606060602,0.000718403215799375,0.16704455
[7-4]x,Top pair,20,506,16055.888675000004,0.0,0.6659205907286634,0.3340794112640901,C,0.33554925790513823,0.0016327247364241273,0.11477999999999966
[7-4]x,Overpair,20,570,21758.095700000016,0.0,0.8222797684523808,0.17772022402777776,C,0.18074746052631596,0.000366566640680811,0.011856288559999938
[7-4]x,2 overcards + draw,20,1831,47030.67942699996,0.2508463451969566,0.4629617074336922,0.28619195047793344,C/R,0.48219361933369775,0.04401918170096443,0.5378254
[7-4]x,2 overcards,20,2765,110225.13936800008,0.7969162884174097,0.19696621815749776,0.006117485864682327,F,0.21524634737793838,0.03665137672237254,1.48821
[7-4]x,Underpair,10,90,4951.856899999998,0.0,0.9179778694444444,0.08202216388888889,C,0.08074390000000001,0.00017615465176174083,0.0021499155559999926
