flop_class,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_bet_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
BBx,Weak pair,47,2166,274479.4988999997,0.45817089800039396,0.5418291029072386,X/B,0.3404723333333339,0.00974086894496155,0.10556499999999999
BBx,A-high,47,1284,276807.76300000027,0.33708855144376904,0.6629114455673758,B,0.3362802757009344,9.650578325861836e-05,0.03400877339999973
BBx,Air,47,996,61664.32601699986,0.23302365172661263,0.7669763470596924,B,0.24459774698795206,0.00011099806475277714,0.06695999999999991
BBx,Top pair,47,2070,375077.2014000003,0.34894683171940366,0.6510531707790455,B,0.3458788376811596,0.0005050802781581089,0.02612981708999982
BBx,Third pair,47,429,48439.57829400003,0.18735272848699766,0.8126472715130024,B,0.25789278438228436,0.013993244315296407,0.21967999999999996
BBx,Air + draw,47,1044,133383.45029699997,0.16977036550151972,0.8302296385195037,B,0.16399022270114952,0.00023881801647212156,0.1184000000000001
BBx,Two pair+,47,935,153247.72525199992,0.010932453777864212,0.9890675422683068,B,0.01629473422459894,1.7360745639252385e-05,0.006159021480000604
BBx,Second pair,47,1590,249991.8926860001,0.6263109095917873,0.37368908948305446,X/B,0.29343782138364766,0.0018704746461230444,0.0817300000000003
BBx,A-high + draw,42,1056,230371.9209999997,0.19563746011904762,0.8043625342261906,B,0.1721290648674241,2.5717542260456496e-05,0.001932404179999736
BBx,Overpair,47,462,100057.27999999998,0.06016702659574468,0.9398329899527187,B,0.07057244588744584,2.3466886247169827e-05,0.0022529425599998377
BBB,Underpair,1,6,1311.799,0.025448666666666665,0.9745513333333333,B,0.02544866666666667,0.0,0.0
BBx,Underpair,24,192,42470.456000000006,0.4854468333333332,0.514553170138889,X/B,0.09203318229166667,0.0005284572006842052,0.00309917322000004
K/Qx con,Weak pair,12,252,11444.503099999998,0.8959361081018521,0.10406389143518519,X,0.1636426825396826,0.0025230746175428096,0.15413999999999994
K/Qx con,A-high,14,816,176926.034,0.5411048500212585,0.4588951526892007,X/B,0.25957259191176457,0.002367621545058822,0.03722499999999975
K/Qx con,Air,14,728,91309.16154199989,0.3849317781909253,0.6150682152122986,X/B,0.2432091778846157,0.0008638607419684016,0.0531699999999999
K/Qx con,Air + draw,14,228,20608.922911999998,0.058946585714285724,0.9410534180194804,B,0.11142088815789473,0.0,0.0
K/Qx con,Top pair,14,768,133563.22650000008,0.5700852371890422,0.4299147575911066,X/B,0.2980064270833332,0.006647087008069909,0.057005000000000194
K/Qx con,Third pair,14,96,11775.395972000002,0.6947048115079365,0.30529519444444436,X,0.24986579166666667,0.0005510789623276625,0.038543686450000794
K/Qx con,Two pair+,14,170,23732.604199999998,0.0036237107461166295,0.9963762892538834,B,0.004956300000000001,0.0,0.0
